age,income,loan_amount,credit_score,months_employed,num_credit_lines,interest_rate,loan_term,dti_ratio,education,employment_type,marital_status,loan_purpose,has_mortgage,has_dependents,has_cosigner,default
60,61014.98,36757.0,517.0,301.0,18.0,11.3,12.0,0.71,High School,Full-time,Single,Auto,No,No,No,1
50,70351.8,39433.0,800.0,81.0,13.0,5.09,48.0,0.24,Bachelor's,Full-time,Married,Auto,No,No,No,0
36,60984.73,5541.0,492.0,143.0,17.0,,12.0,0.67,High School,Full-time,Married,Education,Yes,Yes,No,1
64,69848.88,31678.0,632.0,57.0,8.0,17.38,48.0,0.22,High School,Full-time,Married,Business,No,No,No,1
29,70202.16,19344.0,452.0,141.0,10.0,21.13,48.0,0.65,Bachelor's,Self-employed,Married,Personal,Yes,No,No,0
42,49005.89,46154.0,322.0,340.0,14.0,4.92,36.0,0.48,Master's,Full-time,Married,Home,Yes,No,No,1
60,,9846.0,515.0,24.0,19.0,12.88,12.0,0.15,Bachelor's,Unemployed,Single,Personal,Yes,Yes,Yes,0
40,20072.55,34846.0,342.0,101.0,19.0,20.36,48.0,0.58,High School,Full-time,Single,Education,Yes,No,No,0
44,47313.5,36842.0,660.0,142.0,5.0,20.02,24.0,0.65,Master's,Self-employed,Married,Home,No,Yes,No,0
32,44962.97,43315.0,713.0,73.0,18.0,5.08,48.0,0.26,Master's,Full-time,Single,Education,No,Yes,Yes,0
32,85626.54,6029.0,717.0,43.0,10.0,3.75,36.0,0.85,Bachelor's,Self-employed,Divorced,Business,No,No,No,1
45,61741.75,17272.0,615.0,347.0,16.0,20.34,12.0,0.28,Bachelor's,Part-time,Divorced,Auto,Yes,No,Yes,0
57,28310.92,49613.0,729.0,240.0,18.0,6.47,48.0,0.35,Bachelor's,Full-time,Married,Auto,No,No,No,0
61,66891.68,24770.0,798.0,81.0,9.0,15.92,60.0,0.69,Bachelor's,Full-time,Married,Business,No,No,No,1
45,73195.67,14104.0,648.0,357.0,10.0,5.53,60.0,0.26,Master's,Part-time,Married,Auto,No,Yes,Yes,0
24,53206.72,16855.0,374.0,65.0,12.0,9.85,48.0,0.84,Master's,Full-time,Married,Home,No,No,No,0
43,68805.12,38524.0,532.0,277.0,5.0,6.9,12.0,0.61,Master's,Self-employed,Single,Home,No,No,No,0
23,5085.85,38463.0,337.0,86.0,15.0,19.33,36.0,0.7,Bachelor's,Full-time,Married,Home,No,No,Yes,0
45,1013.55,1919.0,561.0,345.0,7.0,17.96,24.0,0.2,Bachelor's,Self-employed,Single,Home,No,Yes,Yes,0
65,31426.62,43706.0,745.0,40.0,7.0,6.41,12.0,0.76,Bachelor's,Part-time,Single,Personal,No,No,No,0
